UserID,Video,all_num,sequence_num
1,1,18,0
1,2,19,0
1,3,15,0
1,4,12,0
1,5,12,0
1,6,17,0
1,7,12,0
1,8,13,0
1,9,16,0
1,10,16,0
1,11,16,1
1,12,13,1
1,13,13,0
1,14,13,0
3,1,7,0
3,2,13,0
3,3,8,0
3,4,8,0
3,5,3,0
3,6,1,0
3,7,4,0
3,8,2,0
3,9,3,0
3,10,6,0
3,11,2,0
3,12,1,0
3,13,6,0
3,14,3,0
4,1,9,0
4,2,13,0
4,3,2,0
4,4,7,0
4,5,16,0
4,6,12,0
4,7,14,0
4,8,14,0
4,9,14,0
4,10,10,0
4,11,8,0
4,12,11,0
4,13,11,0
4,14,12,0
6,1,17,0
6,2,17,0
6,3,17,0
6,4,23,0
6,5,21,0
6,6,18,0
6,7,14,0
6,8,24,0
6,9,25,0
6,10,20,0
6,11,8,0
6,12,10,0
6,13,13,0
6,14,2,0
8,1,19,0
8,2,19,0
8,3,19,0
8,4,20,0
8,5,17,0
8,6,19,0
8,7,0,0
8,8,19,0
8,9,17,0
8,10,18,0
8,11,18,0
8,12,27,0
8,13,17,0
8,14,13,0
9,1,7,0
9,2,5,0
9,3,9,0
9,4,9,0
9,5,9,0
9,6,14,0
9,7,6,0
9,8,16,0
9,9,11,0
9,10,8,0
9,11,16,0
9,12,8,0
9,13,11,0
9,14,8,0
10,1,10,0
10,2,6,0
10,3,2,0
10,4,4,0
10,5,10,0
10,6,2,0
10,7,6,0
10,8,11,0
10,9,4,0
10,10,13,0
10,11,16,0
10,12,8,0
10,13,12,0
10,14,14,0
11,1,1,0
11,2,3,0
11,3,4,0
11,4,6,0
11,5,4,0
11,6,3,0
11,7,5,0
11,8,5,0
11,9,2,0
11,10,2,0
11,11,5,0
11,12,3,0
11,13,3,0
11,14,7,0
13,1,8,0
13,2,7,0
13,3,5,0
13,4,5,0
13,5,6,0
13,6,5,0
13,7,10,0
13,8,10,0
13,9,8,0
13,10,13,0
13,11,12,0
13,12,8,0
13,13,11,0
13,14,13,0
14,1,12,0
14,2,4,0
14,3,2,0
14,4,5,0
14,5,9,0
14,6,6,0
14,7,8,0
14,8,11,0
14,9,9,0
14,10,11,0
14,11,11,0
14,12,8,0
14,13,11,0
14,14,13,0
15,1,15,0
15,2,16,0
15,3,12,0
15,4,7,0
15,5,3,0
15,6,6,0
15,7,7,0
15,8,8,0
15,9,8,0
15,10,5,0
15,11,7,0
15,12,7,1
15,13,8,0
15,14,7,1
16,1,10,0
16,2,11,0
16,3,11,0
16,4,12,0
16,5,15,0
16,6,12,0
16,7,15,0
16,8,12,0
16,9,17,0
16,10,10,0
16,11,11,0
16,12,15,0
16,13,13,0
16,14,11,0
17,1,10,0
17,2,9,0
17,3,8,0
17,4,6,0
17,5,9,0
17,6,5,0
17,7,7,0
17,8,7,0
17,9,4,0
17,10,7,0
17,11,8,0
17,12,2,0
17,13,7,0
17,14,8,0
18,1,10,0
18,2,8,0
18,3,15,0
18,4,8,0
18,5,5,0
18,6,15,0
18,7,11,0
18,8,7,0
18,9,3,0
18,10,10,0
18,11,11,0
18,12,9,0
18,13,11,0
18,14,10,0
20,1,11,0
20,2,12,0
20,3,8,0
20,4,9,0
20,5,6,0
20,6,3,0
20,7,8,1
20,8,7,0
20,9,8,0
20,10,3,0
20,11,10,0
20,12,5,0
20,13,3,0
20,14,5,0
21,1,14,0
21,2,13,0
21,3,16,0
21,4,8,0
21,5,14,0
21,6,13,0
21,7,12,0
21,8,5,0
21,9,6,0
21,10,9,1
21,11,10,0
21,12,15,0
21,13,10,0
21,14,11,0
23,1,10,0
23,2,10,0
23,3,15,0
23,4,11,0
23,5,14,0
23,6,9,0
23,7,12,0
23,8,18,0
23,9,14,0
23,10,16,0
23,11,7,0
23,12,9,0
23,13,7,0
23,14,10,0
24,1,12,0
24,2,11,0
24,3,14,0
24,4,17,0
24,5,18,0
24,6,12,1
24,7,12,0
24,8,17,2
24,9,13,0
24,10,13,0
24,11,12,0
24,12,14,0
24,13,8,0
24,14,11,0
25,1,12,0
25,2,13,0
25,3,5,0
25,4,10,0
25,5,11,0
25,6,9,0
25,7,9,0
25,8,0,0
25,9,19,1
25,10,21,1
25,11,12,0
25,12,8,0
25,13,22,0
25,14,17,0
26,1,14,2
26,2,13,0
26,3,11,0
26,4,12,0
26,5,6,0
26,6,12,0
26,7,7,0
26,8,8,1
26,9,18,0
26,10,16,1
26,11,24,3
26,12,17,2
26,13,14,2
26,14,15,1
28,1,9,0
28,2,7,0
28,3,12,0
28,4,2,0
28,5,6,0
28,6,5,0
28,7,2,0
28,8,9,0
28,9,13,0
28,10,6,0
28,11,6,0
28,12,5,0
28,13,6,0
28,14,6,0
29,1,17,1
29,2,11,1
29,3,13,0
29,4,8,0
29,5,6,0
29,6,11,0
29,7,10,0
29,8,20,0
29,9,21,0
29,10,20,2
29,11,14,1
29,12,9,0
29,13,12,1
29,14,15,0
31,1,11,0
31,2,6,0
31,3,10,0
31,4,13,0
31,5,7,0
31,6,5,0
31,7,7,0
31,8,10,0
31,9,8,0
31,10,5,0
31,11,8,0
31,12,3,0
31,13,5,0
31,14,6,0
33,1,2,0
33,2,5,0
33,3,9,0
33,4,6,0
33,5,6,0
33,6,3,0
33,7,0,0
33,8,6,0
33,9,9,1
33,10,7,1
33,11,6,0
33,12,7,0
33,13,3,0
33,14,3,0
34,1,10,0
34,2,12,0
34,3,1,0
34,4,5,1
34,5,6,1
34,6,8,0
34,7,4,0
34,8,5,1
34,9,4,0
34,10,3,1
34,11,6,0
34,12,7,1
34,13,4,0
34,14,3,0
35,1,15,0
35,2,15,1
35,3,10,0
35,4,13,0
35,5,10,0
35,6,12,1
35,7,8,0
35,8,9,1
35,9,12,0
35,10,13,0
35,11,14,0
35,12,13,0
35,13,14,0
35,14,13,0
36,1,9,0
36,2,7,1
36,3,6,0
36,4,5,0
36,5,8,0
36,6,11,1
36,7,6,1
36,8,9,0
36,9,6,2
36,10,0,0
36,11,9,1
36,12,8,3
36,13,11,4
36,14,8,0
37,1,13,0
37,2,7,0
37,3,8,0
37,4,5,0
37,5,10,0
37,6,8,0
37,7,7,0
37,8,8,0
37,9,9,0
37,10,8,0
37,11,6,0
37,12,6,0
37,13,9,0
37,14,5,0
